phi_temp,theta_fix,random,dz,u,ratio,OH,CH
0,-45,528.0044115090218,5,4,0.2668027885020595,7.275788310825614e-17,2.727028586048474e-16
15,-45,230.73797862937528,5,4,0.287367761869168,6.914842532213603e-17,2.40626940448587e-16
30,-45,202.95994933088863,5,4,0.3173185854469924,5.670132460622748e-17,1.7868894923489867e-16
45,-45,483.1374857508809,5,4,0.3814068792941271,4.634045632486556e-17,1.2149874278782865e-16
60,-45,85.47710120749277,5,4,0.39777259635942863,2.98667041282957e-17,7.508487110888869e-17
75,-45,199.44562518272596,5,4,0.6469897804570804,2.822515975247455e-17,4.362535638899002e-17
90,-45,267.08183954293065,5,4,0.68617110431113,2.95005223088449e-17,4.299295339529264e-17
105,-45,202.86480750635837,5,4,0.5230253894819902,3.5839802636322275e-17,6.852402073983137e-17
120,-45,355.03669903178644,5,4,0.3912712330968486,4.4991709165922893e-17,1.14988543394363e-16
135,-45,179.2929590941813,5,4,0.32745935051616015,5.5244840593875723e-17,1.6870747623115862e-16
150,-45,399.7822594065198,5,4,0.30054775177602383,6.282686551571313e-17,2.0904120940666154e-16
165,-45,8.934318718598329,5,4,0.27456549055628887,6.948218210066943e-17,2.5306232753392885e-16
180,-45,254.9285484735687,5,4,0.2723309095751955,7.305294668133728e-17,2.682506616501644e-16
195,-45,290.99350747071577,5,4,0.272942946827382,6.938609811955928e-17,2.542146588731648e-16
210,-45,155.5399899792822,5,4,0.26940899848720173,6.172191433002084e-17,2.291011609731103e-16
225,-45,234.80523710728434,5,4,0.34190372559953974,5.644935474130973e-17,1.6510307000113522e-16
240,-45,328.129377999302,5,4,0.39186641379873943,4.5032716226876126e-17,1.1491854019927489e-16
255,-45,385.67622157728266,5,4,0.5235254513687669,3.718608553147436e-17,7.103013890585578e-17
270,-45,389.1265304365129,5,4,0.6380727755976684,2.861229191292659e-17,4.484173750576664e-17
285,-45,353.85343219871675,5,4,0.6913417524888852,2.884990970381086e-17,4.1730315867584873e-17
300,-45,210.48119735415267,5,4,0.45127461683851633,3.367539626167253e-17,7.4622846056779e-17
315,-45,460.6239663574742,5,4,0.3390426443921953,4.381088953484911e-17,1.2921940723235354e-16
330,-45,273.68014644108416,5,4,0.2935010623770368,5.849914911220234e-17,1.9931494843127096e-16
345,-45,526.2276432514246,5,4,0.2881257278768639,6.487749493231015e-17,2.251707801673192e-16
360,-45,7.138249793060236,5,4,0.2697263015247325,7.256760030159252e-17,2.6904161697015096e-16
